inEnglish;inHebrew;inHungarian;wordType;lesson;sex;cardinality
peace;שלום;békesség;miscellaneous;I;;
mother;אימא;anya;noun;I;;
wine;יין;bor;noun;I;;
sea;ים;tenger;noun;I;;
water;מים;víz;noun;I;;
gift;מתנה;ajándék;noun;I;;
what;מה;mi;question;I;;
who;מי;ki;question;I;;
I;אני;én;personal pronoun;I;;
you;אתה;te;personal pronoun;I;male;
you;את;te;personal pronoun;I;female;
she;היא;ő;personal pronoun;I;female;
tent;אוהל;sátor;noun;3;;singular
tent;אוהלים;sátor;noun;3;;plural
hostel;אכסניה;kollégium;noun;3;;
synagogue;בית כנסת;zsinagóga;noun;3;;
man;גבר;férfi;noun;3;;singular
man;גברים;férfi;noun;3;;plural
minute;דקה;perc;noun;3;;singular
minute;דקות;perc;noun;3;;plural
day;יום;nap;noun;3;;singular
day;ימים;nap;noun;3;;plural
chair;כיסא;szék;noun;3;;singular
chair;כיסאות;szék;noun;3;;plural
bed;מיטה;ágy;noun;3;;
word;מילה;szó;noun;3;;
word;מילים;szó;noun;3;;
place;מקום;hely;noun;3;;singular
place;מקומות;hely;noun;3;;plural
pita;פיתה;pita;noun;3;;
furniture;רהית;bútor;noun;3;;
carpet;שטיח;szőnyeg;noun;3;;singular
carpet;שטיחים;szőnyeg;noun;3;;plural
shekel;שקל;sékel;noun;3;;singular
shekel;שקלים;sékel;noun;3;;plural
eat;אוכל;eszik;verb;3;;
sit;יושב;ül;verb;3;;
go for a walk;מטייל;sétálni;verb;3;;
cost;עולה;kerül vmibe;verb;3;;
another;אחר;másik;adjective;3;;singular
another;אחרת;másik;adjective;3;;plural
of meat;בשרי;húsos;adjective;3;;singular
of meat;בשרית;húsos;adjective;3;;plural
dairy;חלבי;tejes;adjective;3;;singular
dairy;חלבית;tejes;adjective;3;;plural
israeli;ישראלי;izraeli;adjective;3;;singular
israeli;ישראלית;izraeli;adjective;3;;plural
all;כל;minden;miscellaneous;3;;
something;משהו;valami;miscellaneous;3;;
more;עוד;több;miscellaneous;3;;
thank you very much;תודה רבה;köszönöm szépen;miscellaneous;3;;
humus;חומוס;humusz étel;foreign word;3;;
atm;כספומט;atm;foreign word;3;;
Bedouin;בדווי;Beduin;foreign word;3;;
love;אהבה;szeretet;noun;2;;
castle;ארמון;kastély;noun;2;;
young man;בחור;fiatal ember;noun;2;;
garden;גינה;kert;noun;2;;
apartment;דירה;lakás;noun;2;;
room;חדר;szoba;noun;2;;
chanukah lamp;חנוכייה;hanuka lámpa;noun;2;;
notebook;מחברת;jegyzet;noun;2;;
kitchen;מטבח;konyha;noun;2;;
shower;מקלחת;fürdőszoba;noun;2;;
tree;עץ;fa;noun;2;;
painting/drawing;ציור;festmény;noun;2;;
table;שולחן;asztal;noun;2;;
which/what;איזה;melyik;question;2;male;
which;איזו;melyik;question;2;female;
which;אילו;melyik;question;2;;plural
about the/in connection to;בקשר ל;kapcsolatban lenni vmivel;miscellaneous;2;;
like/as;כמו;mint;miscellaneous;2;;
for example;למשל;például;miscellaneous;2;;
sometimes;לפעמים;néha;miscellaneous;2;;
named after;על שם;elnevezve vmi után;miscellaneous;2;;
big;גדול;nagy;adjective;2;male;
big;גדולה;nagy;adjective;2;female;
new;חדש;új;adjective;2;male;
new;חדדה;új;adjective;2;female;
good;טוב;jó;adjective;2;male;
good;טובה;jó;adjective;2;female;
beautiful/pretty;יפה;szép;adjective;2;male;
beautiful/pretty;יפה;szép;adjective;2;female;
old/ancient;ישן;régi;adjective;2;male;
old/ancient;ישנה;régi;adjective;2;female;
special;מיוחד;speciális;adjective;2;male;
special;מיוחדת;speciális;adjective;2;female;
excellent;מצוין;kiváló;adjective;2;male;
excellent;מצוינת;kiváló;adjective;2;female;
nice;נחמד;szép;adjective;2;male;
nice;נחמדה;szép;adjective;2;female;
ancient;עתיק;ősi;adjective;2;male;
ancient;עתיקה;ősi;adjective;2;female;
small;קטן;kicsi;adjective;2;male;
small;קטנה;kicsi;adjective;2;female;
amphitheater;אמפיתאטרון;amfiteátrum;foreign word;2;;
ballet;בלט;balett;foreign word;2;;
living room/salon;סלון;nappali;foreign word;2;;
emperor,empress;קיסר;hódító;foreign word;2;;singular
emperor,empress;קיסרית;hódító;foreign word;2;;plural
modern;מודרני;modern;foreign word;2;;singular
modern;מודרנית;modern;foreign word;2;;plural
classical;קלסי;klasszikus;foreign word;2;;singular
classical;קלסית;klasszikus;foreign word;2;;plural
zero;אפס;nulla;noun;1;;singular
zero;אפסים;nulla;noun;1;;plural
morning;בוקר;reggel;noun;1;;singular
